Species,Site
Genetta genetta,UDZ
Mellivora capensis,UDZ
Cercocebus sanjei,UDZ
Rhynchocyon udzungwensis,UDZ
Cephalophus spadix,UDZ
Genetta servalina,UDZ
Papio cynocephalus,UDZ
Cricetomys gambianus,UDZ
Cephalophus harveyi,UDZ
Diceros bicornis,UDZ
Rattus rattus,UDZ
Rhynchocyon cirnei,UDZ
Paraxerus flavovittis,UDZ
Helogale parvula,UDZ
Bdeogale crassicauda,UDZ
Syncerus caffer,UDZ
Thryonomys gregorianus,UDZ
Potamochoerus larvatus,UDZ
Nesotragus moschatus,UDZ
Petrodromus tetradactylus,UDZ
Panthera pardus,UDZ
Poecilogale albinucha,UDZ
Mungos mungo,UDZ
Genetta maculata,UDZ
Ictonyx striatus,UDZ
Philantomba monticola,UDZ
Sylvicapra grimmia,UDZ
Leptailurus serval,UDZ
Civettictis civetta,UDZ
Herpestes ichneumon,UDZ
Atilax paludinosus,UDZ
Thryonomys swinderianus,UDZ
Tragelaphus scriptus,UDZ
Canis adustus,UDZ
Ichneumia albicauda,UDZ
Crocuta crocuta,UDZ
Orycteropus afer,UDZ
Herpestes sanguineus,UDZ
Hystrix africaeaustralis,UDZ
Loxodonta africana,UDZ
Tapirus bairdii,VB
Leopardus tigrinus,VB
Philander opossum,VB
Panthera onca,VB
Dasyprocta punctata,VB
Hoplomys gymnurus,VB
Myrmecophaga tridactyla,VB
Cabassous centralis,VB
Proechimys semispinosus,VB
Galictis vittata,VB
Puma concolor,VB
Mazama temama,VB
Conepatus semistriatus,VB
Sciurus granatensis,VB
Spilogale angustifrons,VB
Nasua narica,VB
Dasypus novemcinctus,VB
Didelphis marsupialis,VB
Didelphis virginiana,VB
Pecari tajacu,VB
Urocyon cinereoargenteus,VB
Eira barbara,VB
Leopardus wiedii,VB
Odocoileus virginianus,VB
Metachirus nudicaudatus,VB
Cuniculus paca,VB
Leopardus pardalis,VB
Puma yagouaroundi,VB
Mustela freneta,VB
Sylvilagus brasiliensis,VB
Canis latrans,VB
Procyon lotor,VB
Tremarctos ornatus,YAN
Didelphis pernigra,YAN
Sciurus ignitus,YAN
Cuniculus taczanowskii,YAN
Sciurus spadiceus,YAN
Sciurus igniventris,YAN
Tapirus terrestris,YAN
Didelphis marsupialis,YAN
Dasypus novemcinctus,YAN
Pecari tajacu,YAN
Tayassu pecari,YAN
Mazama americana,YAN
Leopardus pardalis,YAN
Metachirus nudicaudatus,YAN
Priodontes maximus,YAN
Panthera onca,YAN
Speothos venaticus,YAN
Nasua nasua,YAN
Conepatus chinga,YAN
Pseudalopex culpaeus,YAN
Atelocynus microtis,YAN
Cabassous unicinctus,YAN
Cuniculus paca,YAN
Dasyprocta fuliginosa,YAN
Dasypus kappleri,YAN
Eira barbara,YAN
Leopardus wiedii,YAN
Myrmecophaga tridactyla,YAN
Procyon cancrivorus,YAN
Puma concolor,YAN
Puma yagouaroundi,YAN
Philander andersoni,YAS
Dasyprocta fuliginosa,YAS
Sciurus igniventris,YAS
Puma concolor,YAS
Proechimys brevicauda,YAS
Dasypus novemcinctus,YAS
Didelphis marsupialis,YAS
Proechimys simonsi,YAS
Myoprocta pratti,YAS
Tapirus terrestris,YAS
Sciurus spadiceus,YAS
Atelocynus microtis,YAS
Pecari tajacu,YAS
Mustela africana,YAS
Dasypus kappleri,YAS
Proechimys cuvieri,YAS
Eira barbara,YAS
Leopardus wiedii,YAS
Mazama nemorivaga,YAS
Tayassu pecari,YAS
Mazama americana,YAS
Panthera onca,YAS
Metachirus nudicaudatus,YAS
Priodontes maximus,YAS
Cuniculus paca,YAS
Leopardus pardalis,YAS
Puma yagouaroundi,YAS
Galictis vittata,YAS
Speothos venaticus,YAS
Cabassous unicinctus,YAS
Myrmecophaga tridactyla,YAS
Nasua nasua,YAS
Sylvilagus brasiliensis,YAS
Leopardus tigrinus,YAS
Procyon cancrivorus,YAS
