Species,Body Mass,Graze,Browse,Fruit/Seeds,Invertebrates,Vertebrates,Social,Scansorial,Diurnal,Crepuscular,Nocturnal,Litter Size
Lepus peguensis,2.28,1,1,0,0,0,0,0,0,1,1,3.5
Rhizomys pruinosus,2.23,1,1,0,0,0,0,0,0,0,1,2.25
Macaca mulatta,6.73,0,0,1,0,0,1,1,1,0,0,1
Muntiacus vaginalis,20.95,0,1,0,0,0,0,0,1,1,1,1
Viverricula indica,2.99,0,0,0,1,1,0,1,0,0,1,3.89
Manis pentadactyla,4.67,0,0,0,1,0,0,1,0,0,1,1
Mustela strigidorsa,1.5,0,0,0,0,1,0,0,1,1,1,3.99
Didelphis virginiana,2.41,0,0,1,1,1,0,1,0,0,1,8.11
Didelphis pernigra,1.01,0,0,1,1,1,0,1,0,0,1,6.49
Cuniculus taczanowskii,9,0,0,1,0,0,0,0,0,0,1,1
Conepatus chinga,2.66,0,0,0,1,1,0,0,0,0,1,3.5
Pseudalopex culpaeus,9.18,0,0,0,0,1,0,0,0,0,1,4.44
Diceros bicornis,1049.95,0,1,0,0,0,0,0,1,0,0,1
Ichneumia albicauda,4.09,0,0,0,1,1,0,1,0,0,1,2.3
Sylvicapra grimmia,16.2,0,1,0,0,0,0,0,0,1,1,1
Genetta genetta,1.83,0,0,0,1,1,0,1,0,0,1,2
